,EmpID,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
23,RM777,20,18-25,Yes,Travel_Frequently,769,Sales,9,Bachelor,Marketing,1,1077,Very High,Female,54,High,1,Sales Representative,Very High,Single,2323,Upto 5k,17205,1,Y,Yes,14,Better,Medium,80,0,2,3,Better,2,2,0,2.0
24,RM857,20,18-25,No,Travel_Rarely,805,Research & Development,3,Bachelor,Life Sciences,1,1198,Low,Male,87,Medium,1,Laboratory Technician,High,Single,3033,Upto 5k,12828,1,Y,No,12,Better,Low,80,0,2,2,Good,2,2,1,2.0
25,RM877,20,18-25,No,Travel_Rarely,654,Sales,21,Bachelor,Marketing,1,1226,High,Male,43,Very High,1,Sales Representative,Very High,Single,2678,Upto 5k,5050,1,Y,No,17,Better,Very High,80,0,2,2,Better,2,1,2,2.0
26,RM1179,20,18-25,No,Travel_Rarely,1141,Sales,2,Bachelor,Medical,1,1657,High,Female,31,High,1,Sales Representative,High,Single,2783,Upto 5k,13251,1,Y,No,19,Better,Low,80,0,2,3,Better,2,2,2,2.0
27,RM1198,20,18-25,No,Travel_Rarely,727,Sales,9,Below College,Life Sciences,1,1680,Very High,Male,54,High,1,Sales Representative,Low,Single,2728,Upto 5k,21082,1,Y,No,11,Better,Low,80,0,2,3,Better,2,2,0,2.0
28,RM024,21,18-25,No,Travel_Rarely,391,Research & Development,15,College,Life Sciences,1,30,High,Male,96,High,1,Research Scientist,Very High,Single,1232,Upto 5k,19281,1,Y,No,14,Better,Very High,80,0,0,6,Better,0,0,0,2.0
29,RM275,21,18-25,No,Travel_Rarely,996,Research & Development,3,College,Medical,1,379,Very High,Male,100,Medium,1,Research Scientist,High,Single,3230,Upto 5k,10531,1,Y,No,17,Better,Low,80,0,3,4,Best,3,2,1,0.0
30,RM358,21,18-25,Yes,Travel_Frequently,756,Sales,1,Below College,Technical Degree,1,478,Low,Female,99,Medium,1,Sales Representative,Medium,Single,2174,Upto 5k,9150,1,Y,Yes,11,Better,High,80,0,3,3,Better,3,2,1,2.0
31,RM363,21,18-25,No,Non-Travel,895,Sales,9,College,Medical,1,484,Low,Male,39,High,1,Sales Representative,Very High,Single,2610,Upto 5k,2851,1,Y,No,24,Best,High,80,0,3,3,Good,3,2,2,2.0
32,RM371,21,18-25,Yes,Travel_Rarely,156,Sales,12,Bachelor,Life Sciences,1,494,High,Female,90,Very High,1,Sales Representative,Medium,Single,2716,Upto 5k,25422,1,Y,No,15,Better,Very High,80,0,1,0,Better,1,0,0,0.0
33,RM497,21,18-25,No,Travel_Rarely,1343,Sales,22,Below College,Technical Degree,1,669,High,Male,49,High,1,Sales Representative,High,Single,3447,Upto 5k,24444,1,Y,No,11,Better,High,80,0,3,2,Better,3,2,1,2.0
34,RM664,21,18-25,Yes,Travel_Rarely,1427,Research & Development,18,Below College,Other,1,923,Very High,Female,65,High,1,Research Scientist,Very High,Single,2693,Upto 5k,8870,1,Y,No,19,Better,Low,80,0,1,3,Good,1,0,0,0.0
35,RM778,21,18-25,Yes,Travel_Rarely,1334,Research & Development,10,Bachelor,Life Sciences,1,1079,High,Female,36,Medium,1,Laboratory Technician,Low,Single,1416,Upto 5k,17258,1,Y,No,13,Better,Low,80,0,1,6,Good,1,0,1,0.0
36,RM816,21,18-25,No,Travel_Rarely,984,Research & Development,1,Below College,Technical Degree,1,1131,Very High,Female,70,Medium,1,Research Scientist,Medium,Single,2070,Upto 5k,25326,1,Y,Yes,11,Better,High,80,0,2,6,Best,2,2,2,2.0
37,RM916,21,18-25,Yes,Travel_Frequently,251,Research & Development,10,College,Life Sciences,1,1279,Low,Female,45,Medium,1,Laboratory Technician,High,Single,2625,Upto 5k,25308,1,Y,No,20,Best,High,80,0,2,2,Bad,2,2,2,2.0
38,RM1153,21,18-25,No,Travel_Rarely,546,Research & Development,5,Below College,Medical,1,1623,High,Male,97,High,1,Research Scientist,Very High,Single,3117,Upto 5k,26009,1,Y,No,18,Better,High,80,0,3,2,Better,2,2,2,2.0
39,RM1272,21,18-25,Yes,Travel_Rarely,337,Sales,7,Below College,Marketing,1,1780,Medium,Male,31,High,1,Sales Representative,Medium,Single,2679,Upto 5k,4567,1,Y,No,13,Better,Medium,80,0,1,3,Better,1,0,1,0.0
40,RM1437,21,18-25,No,Travel_Rarely,501,Sales,5,Below College,Medical,1,2021,High,Male,58,High,1,Sales Representative,Low,Single,2380,Upto 5k,25479,1,Y,Yes,11,Better,Very High,80,0,2,6,Better,2,2,1,2.0
41,RM018,22,18-25,No,Non-Travel,1123,Research & Development,16,College,Medical,1,22,Very High,Male,96,Very High,1,Laboratory Technician,Very High,Divorced,2935,Upto 5k,7324,1,Y,Yes,13,Better,Medium,80,2,1,2,Good,1,0,0,0.0
42,RM110,22,18-25,No,Travel_Rarely,534,Research & Development,15,Bachelor,Medical,1,144,Medium,Female,59,High,1,Laboratory Technician,Very High,Single,2871,Upto 5k,23785,1,Y,No,15,Better,High,80,0,1,5,Better,0,0,0,0.0
43,RM129,22,18-25,No,Travel_Rarely,594,Research & Development,2,Below College,Technical Degree,1,169,High,Male,100,High,1,Laboratory Technician,Very High,Married,2523,Upto 5k,19299,0,Y,No,14,Better,High,80,1,3,2,Better,2,1,2,1.0
44,RM161,22,18-25,No,Travel_Rarely,1256,Research & Development,19,Below College,Medical,1,217,High,Male,80,High,1,Research Scientist,Very High,Married,2323,Upto 5k,11992,1,Y,No,24,Best,Low,80,2,2,6,Better,2,2,2,2.0
45,RM207,22,18-25,No,Travel_Rarely,1136,Research & Development,5,Bachelor,Life Sciences,1,284,Very High,Male,60,Very High,1,Research Scientist,Medium,Divorced,2328,Upto 5k,12392,1,Y,Yes,16,Better,Low,80,1,4,2,Good,4,2,2,2.0
46,RM384,22,18-25,No,Travel_Rarely,253,Research & Development,11,Bachelor,Medical,1,511,Low,Female,43,High,1,Research Scientist,Medium,Married,2244,Upto 5k,24440,1,Y,No,13,Better,Very High,80,1,2,1,Better,2,1,1,2.0
47,RM444,22,18-25,Yes,Travel_Frequently,1368,Research & Development,4,Below College,Technical Degree,1,593,High,Male,99,Medium,1,Laboratory Technician,High,Single,3894,Upto 5k,9129,5,Y,No,16,Better,High,80,0,4,3,Better,2,2,1,2.0
48,RM499,22,18-25,No,Travel_Rarely,604,Research & Development,6,Below College,Medical,1,675,Low,Male,69,High,1,Research Scientist,High,Married,2773,Upto 5k,12145,0,Y,No,20,Best,Very High,80,0,3,3,Better,2,2,2,2.0
49,RM631,22,18-25,No,Travel_Rarely,1230,Research & Development,1,College,Life Sciences,1,872,Very High,Male,33,Medium,2,Manufacturing Director,Very High,Married,4775,Upto 5k,19146,6,Y,No,22,Best,Low,80,2,4,2,Bad,2,2,2,2.0
50,RM667,22,18-25,Yes,Travel_Rarely,617,Research & Development,3,Below College,Life Sciences,1,926,Medium,Female,34,High,2,Manufacturing Director,High,Married,4171,Upto 5k,10022,0,Y,Yes,19,Better,Low,80,1,4,3,Best,3,2,0,2.0
51,RM735,22,18-25,No,Travel_Rarely,217,Research & Development,8,Below College,Life Sciences,1,1019,Medium,Male,94,Low,1,Laboratory Technician,Low,Married,2451,Upto 5k,6881,1,Y,No,15,Better,Low,80,1,4,3,Good,4,3,1,1.0
52,RM861,22,18-25,Yes,Travel_Frequently,1256,Research & Development,3,Master,Life Sciences,1,1203,High,Male,48,Medium,1,Research Scientist,Very High,Married,2853,Upto 5k,4223,0,Y,Yes,11,Better,Medium,80,1,1,5,Better,0,0,0,0.0
53,RM1138,22,18-25,No,Non-Travel,457,Research & Development,26,College,Other,1,1605,Medium,Female,85,Medium,1,Research Scientist,High,Married,2814,Upto 5k,10293,1,Y,Yes,14,Better,Medium,80,0,4,2,Good,4,2,1,3.0
54,RM1274,22,18-25,Yes,Travel_Rarely,1294,Research & Development,8,Below College,Medical,1,1783,High,Female,79,High,1,Laboratory Technician,Low,Married,2398,Upto 5k,15999,1,Y,Yes,17,Better,High,80,0,1,6,Better,1,0,0,0.0
55,RM1340,22,18-25,Yes,Travel_Rarely,391,Research & Development,7,Below College,Life Sciences,1,1878,Very High,Male,75,High,1,Research Scientist,Medium,Single,2472,Upto 5k,26092,1,Y,Yes,23,Best,Low,80,0,1,2,Better,1,0,0,0.0
56,RM1424,22,18-25,No,Travel_Rarely,581,Research & Development,1,College,Life Sciences,1,2007,Very High,Male,63,High,1,Research Scientist,High,Single,3375,Upto 5k,17624,0,Y,No,12,Better,Very High,80,0,4,2,Best,3,2,1,2.0
57,RM087,23,18-25,No,Travel_Rarely,541,Sales,2,Below College,Technical Degree,1,113,High,Male,62,High,1,Sales Representative,Low,Divorced,2322,Upto 5k,9518,3,Y,No,13,Better,High,80,1,3,3,Better,0,0,0,0.0
58,RM346,23,18-25,No,Travel_Rarely,1309,Research & Development,26,Below College,Life Sciences,1,465,High,Male,83,High,1,Research Scientist,Very High,Divorced,2904,Upto 5k,16092,1,Y,No,12,Better,High,80,2,4,2,Good,4,2,0,2.0
59,RM517,23,18-25,No,Travel_Rarely,885,Research & Development,4,Bachelor,Medical,1,705,Low,Male,58,Very High,1,Research Scientist,Low,Married,2819,Upto 5k,8544,2,Y,No,16,Better,Low,80,1,5,3,Best,3,2,0,2.0
60,RM551,23,18-25,No,Travel_Rarely,650,Research & Development,9,Below College,Medical,1,758,Medium,Male,37,High,1,Laboratory Technician,Low,Married,2500,Upto 5k,4344,1,Y,No,14,Better,Very High,80,1,5,2,Best,4,3,0,2.0
61,RM566,23,18-25,No,Travel_Rarely,310,Research & Development,10,Below College,Medical,1,784,Low,Male,79,Very High,1,Research Scientist,High,Single,3505,Upto 5k,19630,1,Y,No,18,Better,Very High,80,0,2,3,Better,2,2,0,2.0
62,RM586,23,18-25,Yes,Travel_Rarely,1243,Research & Development,6,Bachelor,Life Sciences,1,811,High,Male,63,Very High,1,Laboratory Technician,Low,Married,1601,Upto 5k,3445,1,Y,Yes,21,Best,High,80,2,1,2,Better,0,0,0,0.0
63,RM911,23,18-25,No,Travel_Rarely,373,Research & Development,1,College,Life Sciences,1,1270,Very High,Male,47,High,1,Research Scientist,High,Married,1223,Upto 5k,16901,1,Y,No,22,Best,Very High,80,1,1,2,Better,1,0,0,1.0
64,RM1083,23,18-25,No,Travel_Rarely,507,Research & Development,20,Below College,Life Sciences,1,1533,Low,Male,97,High,2,Laboratory Technician,High,Single,2272,Upto 5k,24812,0,Y,No,14,Better,Medium,80,0,5,2,Better,4,3,1,2.0
65,RM1128,23,18-25,No,Travel_Rarely,977,Research & Development,10,Bachelor,Technical Degree,1,1592,Very High,Male,45,Very High,1,Research Scientist,High,Married,2073,Upto 5k,12826,2,Y,No,16,Better,Very High,80,1,4,2,Better,2,2,2,2.0
66,RM1202,23,18-25,Yes,Travel_Rarely,1320,Research & Development,8,Below College,Medical,1,1684,Very High,Male,93,Medium,1,Laboratory Technician,High,Single,3989,Upto 5k,20586,1,Y,Yes,11,Better,Low,80,0,5,2,Better,5,4,1,2.0
67,RM1214,23,18-25,Yes,Travel_Rarely,427,Sales,7,Bachelor,Life Sciences,1,1702,High,Male,99,High,1,Sales Representative,Very High,Divorced,2275,Upto 5k,25103,1,Y,Yes,21,Best,Medium,80,1,3,2,Better,3,2,0,2.0
68,RM1239,23,18-25,No,Travel_Rarely,160,Research & Development,4,Below College,Medical,1,1735,High,Female,51,High,1,Laboratory Technician,Medium,Single,3295,Upto 5k,12862,1,Y,No,13,Better,High,80,0,3,3,Bad,3,2,1,2.0
69,RM1409,23,18-25,No,Travel_Rarely,571,Research & Development,12,College,Other,1,1982,Very High,Male,78,High,1,Laboratory Technician,Very High,Single,2647,Upto 5k,13672,1,Y,No,13,Better,High,80,0,5,6,Best,5,2,1,4.0
70,RM1439,23,18-25,Yes,Travel_Frequently,638,Sales,9,Bachelor,Marketing,1,2023,Very High,Male,33,High,1,Sales Representative,Low,Married,1790,Upto 5k,26956,1,Y,No,19,Better,Low,80,1,1,3,Good,1,0,1,0.0
71,RM021,24,18-25,No,Non-Travel,673,Research & Development,11,College,Other,1,26,Low,Female,96,Very High,2,Manufacturing Director,High,Divorced,4011,Upto 5k,8232,0,Y,No,18,Better,Very High,80,1,5,5,Good,4,2,1,3.0
72,RM035,24,18-25,Yes,Travel_Rarely,813,Research & Development,1,Bachelor,Medical,1,45,Medium,Male,61,High,1,Research Scientist,Very High,Married,2293,Upto 5k,3020,2,Y,Yes,16,Better,Low,80,1,6,2,Good,2,0,2,0.0
73,RM097,24,18-25,No,Travel_Rarely,1353,Sales,3,College,Other,1,128,Low,Female,33,High,2,Sales Executive,High,Married,4999,Upto 5k,17519,0,Y,No,21,Best,Low,80,1,4,2,Good,3,2,0,2.0
74,RM114,24,18-25,No,Travel_Rarely,1127,Research & Development,18,Below College,Life Sciences,1,150,Medium,Male,52,High,1,Laboratory Technician,High,Married,2774,Upto 5k,13257,0,Y,No,12,Better,High,80,1,6,2,Better,5,3,1,2.0
75,RM381,24,18-25,No,Travel_Rarely,1371,Sales,10,Master,Marketing,1,507,Very High,Female,77,High,2,Sales Executive,High,Divorced,4260,Upto 5k,5915,1,Y,Yes,12,Better,Very High,80,1,5,2,Best,5,2,0,3.0
76,RM415,24,18-25,Yes,Travel_Rarely,1448,Sales,1,Below College,Technical Degree,1,554,Low,Female,62,High,1,Sales Representative,Medium,Single,3202,Upto 5k,21972,1,Y,Yes,16,Better,Medium,80,0,6,4,Better,5,3,1,4.0
77,RM471,24,18-25,No,Travel_Frequently,535,Sales,24,Bachelor,Medical,1,632,Very High,Male,38,High,1,Sales Representative,Very High,Married,2400,Upto 5k,5530,0,Y,No,13,Better,High,80,2,3,3,Better,2,2,2,1.0
78,RM475,24,18-25,No,Travel_Rarely,691,Research & Development,23,Bachelor,Medical,1,639,Medium,Male,89,Very High,1,Research Scientist,Very High,Married,2725,Upto 5k,21630,1,Y,Yes,11,Better,Medium,80,2,6,3,Better,6,5,1,4.0
79,RM477,24,18-25,No,Travel_Rarely,823,Research & Development,17,College,Other,1,643,Very High,Male,94,Medium,1,Laboratory Technician,Medium,Married,2127,Upto 5k,9100,1,Y,No,21,Best,Very High,80,1,1,2,Better,1,0,0,0.0
80,RM480,24,18-25,Yes,Travel_Frequently,1287,Research & Development,7,Bachelor,Life Sciences,1,647,Low,Female,55,High,1,Laboratory Technician,High,Married,2886,Upto 5k,14168,1,Y,Yes,16,Better,Very High,80,1,6,4,Better,6,3,1,2.0
81,RM526,24,18-25,Yes,Travel_Rarely,693,Sales,3,College,Life Sciences,1,720,Low,Female,65,High,2,Sales Executive,High,Single,4577,Upto 5k,24785,9,Y,No,14,Better,Low,80,0,4,3,Better,2,2,2,0.0
82,RM587,24,18-25,No,Non-Travel,1092,Research & Development,9,Bachelor,Life Sciences,1,812,High,Male,60,Medium,1,Laboratory Technician,Medium,Divorced,2694,Upto 5k,26551,1,Y,No,11,Better,High,80,3,1,4,Better,1,0,0,0.0
83,RM641,24,18-25,No,Non-Travel,1269,Research & Development,4,Below College,Life Sciences,1,888,Low,Male,46,Medium,1,Laboratory Technician,Very High,Married,3162,Upto 5k,10778,0,Y,No,17,Better,Very High,80,0,6,2,Good,5,2,3,4.0
84,RM725,24,18-25,No,Travel_Rarely,1206,Research & Development,17,Below College,Medical,1,1009,Very High,Female,41,Medium,2,Manufacturing Director,High,Divorced,4377,Upto 5k,24117,1,Y,No,15,Better,Medium,80,2,5,6,Better,4,2,3,2.0
85,RM842,24,18-25,No,Travel_Rarely,477,Research & Development,24,Bachelor,Medical,1,1173,Very High,Male,49,High,1,Laboratory Technician,Medium,Single,3597,Upto 5k,6409,8,Y,No,22,Best,Very High,80,0,6,2,Better,4,3,1,2.0
86,RM872,24,18-25,Yes,Travel_Rarely,984,Research & Development,17,College,Life Sciences,1,1219,Very High,Female,97,High,1,Laboratory Technician,Medium,Married,2210,Upto 5k,3372,1,Y,No,13,Better,Low,80,1,1,3,Bad,1,0,0,0.0
87,RM1026,24,18-25,No,Travel_Rarely,1476,Sales,4,Below College,Medical,1,1445,Very High,Female,42,High,2,Sales Executive,High,Married,4162,Upto 5k,15211,1,Y,Yes,12,Better,High,80,2,5,3,Better,5,4,0,3.0
88,RM1061,24,18-25,Yes,Travel_Frequently,381,Research & Development,9,Bachelor,Medical,1,1494,Medium,Male,89,High,1,Laboratory Technician,Low,Single,3172,Upto 5k,16998,2,Y,Yes,11,Better,High,80,0,4,2,Good,0,0,0,0.0
89,RM1062,24,18-25,No,Non-Travel,830,Sales,13,College,Life Sciences,1,1495,Very High,Female,78,High,1,Sales Representative,Medium,Married,2033,Upto 5k,7103,1,Y,No,13,Better,High,80,1,1,2,Better,1,0,0,0.0
90,RM1098,24,18-25,No,Travel_Rarely,350,Research & Development,21,College,Technical Degree,1,1551,High,Male,57,Medium,1,Laboratory Technician,Low,Divorced,2296,Upto 5k,10036,0,Y,No,14,Better,Medium,80,3,2,3,Better,1,1,0,0.0
91,RM1169,24,18-25,No,Travel_Frequently,567,Research & Development,2,Below College,Technical Degree,1,1646,Low,Female,32,High,1,Research Scientist,Very High,Single,3760,Upto 5k,17218,1,Y,Yes,13,Better,High,80,0,6,2,Better,6,3,1,3.0
92,RM1218,24,18-25,No,Travel_Rarely,581,Research & Development,9,Bachelor,Medical,1,1707,High,Male,62,Very High,1,Research Scientist,High,Married,4401,Upto 5k,17616,1,Y,No,16,Better,Very High,80,1,5,1,Better,5,3,0,4.0
93,RM1223,24,18-25,Yes,Travel_Rarely,240,Human Resources,22,Below College,Human Resources,1,1714,Very High,Male,58,Low,1,Human Resources,High,Married,1555,Upto 5k,11585,1,Y,No,11,Better,High,80,1,1,2,Better,1,0,0,0.0
94,RM1231,24,18-25,No,Travel_Rarely,506,Research & Development,29,Below College,Medical,1,1725,Medium,Male,91,High,1,Laboratory Technician,Low,Divorced,3907,Upto 5k,3622,1,Y,No,13,Better,Medium,80,3,6,2,Best,6,2,1,2.0
95,RM1246,24,18-25,No,Travel_Frequently,897,Human Resources,10,Bachelor,Medical,1,1746,Low,Male,59,High,1,Human Resources,Very High,Married,2145,Upto 5k,2097,0,Y,No,14,Better,Very High,80,1,3,2,Better,2,2,2,1.0
96,RM1408,24,18-25,No,Travel_Rarely,771,Research & Development,1,College,Life Sciences,1,1981,Medium,Male,45,Medium,2,Healthcare Representative,High,Single,4617,Upto 5k,14120,1,Y,No,12,Better,Medium,80,0,4,2,Good,4,3,1,2.0
97,RM108,25,18-25,Yes,Travel_Rarely,240,Sales,5,Bachelor,Marketing,1,142,High,Male,46,Medium,2,Sales Executive,High,Single,5744,5k-10k,26959,1,Y,Yes,11,Better,Very High,80,0,6,1,Better,6,4,0,3.0
98,RM109,25,18-25,No,Travel_Rarely,1280,Research & Development,7,Below College,Medical,1,143,Very High,Male,64,Medium,1,Research Scientist,Very High,Married,2889,Upto 5k,26897,1,Y,No,11,Better,High,80,2,2,2,Better,2,2,2,1.0
99,RM139,25,18-25,No,Travel_Rarely,959,Sales,28,Bachelor,Life Sciences,1,183,Low,Male,41,Medium,2,Sales Executive,High,Married,8639,5k-10k,24835,2,Y,No,18,Better,Very High,80,0,6,3,Better,2,2,2,2.0
100,RM256,25,18-25,No,Travel_Rarely,685,Research & Development,1,Bachelor,Life Sciences,1,350,Low,Female,62,High,2,Manufacturing Director,High,Married,4898,Upto 5k,7505,0,Y,No,12,Better,Very High,80,2,5,3,Better,4,2,1,2.0
101,RM268,25,18-25,No,Non-Travel,675,Research & Development,5,College,Life Sciences,1,369,Medium,Male,85,Very High,2,Healthcare Representative,Low,Divorced,4000,Upto 5k,18384,1,Y,No,12,Better,Very High,80,2,6,2,Better,6,3,1,5.0
102,RM398,25,18-25,No,Travel_Rarely,891,Sales,4,College,Life Sciences,1,527,Medium,Female,99,Medium,2,Sales Executive,Very High,Single,4487,Upto 5k,12090,1,Y,Yes,11,Better,Medium,80,0,5,3,Better,5,4,1,3.0
103,RM406,25,18-25,Yes,Travel_Rarely,688,Research & Development,3,Bachelor,Medical,1,538,Low,Male,91,High,1,Laboratory Technician,Low,Married,4031,Upto 5k,9396,5,Y,No,13,Better,High,80,1,6,5,Better,2,2,0,2.0
104,RM479,25,18-25,No,Travel_Rarely,622,Sales,13,Below College,Medical,1,645,Medium,Male,40,High,1,Sales Representative,High,Married,2096,Upto 5k,26376,1,Y,No,11,Better,High,80,0,7,1,Better,7,4,0,6.0
105,RM518,25,18-25,No,Travel_Rarely,810,Sales,8,Bachelor,Life Sciences,1,707,Very High,Male,57,Very High,2,Sales Executive,Medium,Married,4851,Upto 5k,15678,0,Y,No,22,Best,High,80,1,4,4,Better,3,2,1,2.0
106,RM564,25,18-25,No,Travel_Rarely,883,Sales,26,Below College,Medical,1,781,High,Female,32,High,2,Sales Executive,Very High,Single,6180,5k-10k,22807,1,Y,No,23,Best,Medium,80,0,6,5,Good,6,5,1,4.0
